,음식점,맛있다,빠르다,웨이팅,비싸다,청결,더럽다,쾌적,분위기,넓다,좁다,친절하다,불친절하다,좋다,강추,별로,신선하다,다양하다,편리하다,유명하다,총 리뷰수,별점,링크
0,버거킹 군자능동점,489,51,1,8,1,,1,1,109,2,82,3,716,2,5,4,4,6,,1485,4.44,https://m.place.naver.com/share?id=1511881360&tabsPath=%2Fhome&appMode=detail#applink
1,빠오즈푸 본점,9,,1,,,,,,,,1,,6,,,,,,1,18,4.47,https://m.place.naver.com/restaurant/20757891/review/visitor
2,숙성부심,469,1,31,1,,,,31,8,1,139,,293,13,3,6,49,,1,1046,,https://m.place.naver.com/share?id=1178891712&tabsPath=%2Fhome&appMode=detail#applink
3,영미오리탕,309,,19,3,,1,,1,1,9,38,3,136,1,12,6,,,14,553,4.4,https://m.place.naver.com/restaurant/11687205/review/visitor
4,싸다김밥 어린이대공원역점,265,3,,5,1,2,,1,3,,29,,259,1,6,5,13,1,,594,4.31,https://m.place.naver.com/restaurant/1981065688/review/visitor
5,산들,151,,,,,,,,,,12,,137,1,,1,1,,4,307,4.46,https://m.place.naver.com/restaurant/31234534/review/visitor
6,은혜즉석떡볶이,135,,,3,,,,3,,,14,,35,,1,1,,,3,195,4.35,https://m.place.naver.com/restaurant/20912981/review/visitor
7,능동아구찜,429,2,,6,,,,3,10,,80,,228,9,7,44,13,1,4,836,,https://m.place.naver.com/restaurant/13199247/review/visitor
8,보승회관 군자역점,295,,,6,,1,,2,39,,61,1,201,3,8,1,3,,5,626,,https://m.place.naver.com/restaurant/1827382271/review/visitor
9,미식반점 군자본점,349,3,2,1,1,,,12,10,,21,5,141,10,5,5,3,1,8,577,4.45,https://m.place.naver.com/restaurant/1472793185/review/visitor
10,미식일가,128,,11,2,,,,24,,5,45,1,107,1,4,14,4,,2,348,4.55,https://m.place.naver.com/restaurant/36215038/review/visitor
11,스위트앤카츠,146,,,5,,,,1,,8,75,,188,4,12,3,33,1,1,477,,https://m.place.naver.com/restaurant/36481365/review/visitor
12,스시노칸도 어린이대공원역점,480,4,,4,,,,5,8,2,88,7,267,2,7,70,60,3,1,1008,,https://m.place.naver.com/restaurant/1156658135/review/visitor
13,천미향,118,1,,6,,,,2,6,,26,,104,2,3,,,,1,269,4.29,https://m.place.naver.com/restaurant/12035278/review/visitor
14,하이난,165,1,,12,,,,9,4,,30,1,127,2,4,4,3,,,362,4.4,https://m.place.naver.com/restaurant/11611452/review/visitor
15,샐러디 군자역점,6,,,1,,,,,,,2,,2,,,4,,,,15,4.52,https://m.place.naver.com/restaurant/1733116910/review/visitor
16,기와집 능이백숙삼계탕 본점,157,,,3,,,,1,5,,30,1,80,1,4,3,,1,3,289,4.54,https://m.place.naver.com/restaurant/34320746/review/visitor
17,한촌설렁탕 군자점,209,4,,,,,,1,3,,62,,134,,3,1,3,1,,421,4.33,https://m.place.naver.com/restaurant/1900231521/review/visitor
18,카레당,333,,3,4,,,,31,1,1,53,,163,3,2,3,6,1,2,606,4.57,https://m.place.naver.com/restaurant/1254145458/review/visitor
19,하오츠,161,,,1,,,,1,1,1,29,5,70,1,3,3,2,,1,279,4.37,https://m.place.naver.com/restaurant/37101744/review/visitor
20,새벽집군자점,153,,,3,,,,14,9,,27,6,162,1,4,16,7,2,8,412,4.27,https://m.place.naver.com/restaurant/38010611/review/visitor
21,능동국시,159,1,,1,1,,,,2,,30,,69,2,7,,,,2,274,4.28,https://m.place.naver.com/restaurant/38275086/review/visitor
22,군자김밥 군자본점,71,1,,,1,1,,,,,19,3,100,,2,2,4,,,204,4.13,https://m.place.naver.com/restaurant/1155648623/review/visitor
23,또래끼리,163,,,1,,,,,,,9,1,86,1,3,,,,3,267,4.4,https://m.place.naver.com/restaurant/37213189/review/visitor
24,세종원 군자본점,188,1,,1,,,,2,1,,26,,75,5,,2,,1,,302,4.44,https://m.place.naver.com/restaurant/34628680/review/visitor
25,화양리정육식당,152,,,1,1,,,18,6,,54,,123,3,,15,6,,1,380,,https://m.place.naver.com/restaurant/1947162354/review/visitor
26,고봉민김밥인 서울군자점,3,,,,,,,,,,,,2,,,,,,,5,4.27,https://m.place.naver.com/restaurant/35044920/review/visitor
27,돈카와치 어린이대공원점,396,2,,3,,,,45,2,2,96,,209,6,2,8,19,,,790,,https://m.place.naver.com/restaurant/1542379601/review/visitor
28,얌샘김밥 세종대점,91,,,5,1,1,,,1,1,20,14,41,,5,1,3,,2,186,4.24,https://m.place.naver.com/restaurant/1234257499/review/visitor
29,스시교센,104,,,1,,2,,,,,9,7,55,2,3,10,1,,,194,,https://m.place.naver.com/restaurant/1875865667/review/visitor
30,채선당 월남쌈 & 샤브샤브 화양점,66,,,1,1,1,,,6,,29,3,117,,6,26,3,2,,261,4.19,https://m.place.naver.com/restaurant/21693162/review/visitor
31,혼다라멘 어린이대공원점,127,2,1,5,,,,2,,1,3,,55,,1,,,,1,198,4.38,https://m.place.naver.com/restaurant/1085950217/review/visitor
32,장어시대 군자점,15,,,1,,,,,3,,6,,5,,,4,,,,34,,https://m.place.naver.com/restaurant/1548611684/review/visitor
33,만게츠,148,,,,,,,25,2,1,27,,109,3,3,2,8,,3,331,,https://m.place.naver.com/restaurant/1503215430/review/visitor
34,알고,116,1,,,,,,18,1,,14,,99,2,3,2,14,,1,271,4.82,https://m.place.naver.com/restaurant/810682299/review/visitor
35,라운지앤,136,1,,2,,,,,,1,40,,48,,1,1,2,,1,233,,https://m.place.naver.com/restaurant/32822240/review/visitor
36,용두동할매쭈꾸미,90,,,1,,,,,,,13,,27,3,2,2,,1,2,141,,https://m.place.naver.com/restaurant/12901119/review/visitor
37,장수마을 정육식당,61,,,2,1,,1,,3,,21,2,42,,6,3,,,,142,4.41,https://m.place.naver.com/restaurant/21597707/review/visitor
38,무한정수제돈까스 군자점,47,1,,,,,,,,,20,,28,,,,,,,96,4.54,https://m.place.naver.com/restaurant/32848507/review/visitor
39,피자스쿨 세종대점,158,11,,1,,,,,3,,18,,52,1,,1,,,,245,4.66,https://m.place.naver.com/restaurant/20943449/review/visitor
40,미주류 본점,91,,3,2,1,,,25,,2,22,,65,2,,,22,,1,236,4.71,https://m.place.naver.com/restaurant/1331438803/review/visitor
41,담꾹 군자점,4,,,,,,,,,,4,,7,,,,,,,15,4.47,https://m.place.naver.com/restaurant/1849204025/review/visitor
42,본죽 군자역점,69,1,,2,,,,,,,28,,48,,1,,,1,,150,,https://m.place.naver.com/restaurant/13337899/review/visitor
43,심야식당쿠난,163,1,3,1,,,,35,,1,40,,91,6,,2,11,,1,355,,https://m.place.naver.com/restaurant/1847664192/review/visitor
44,요마시,103,,,2,,,,1,,,2,,23,1,,1,,,1,134,4.46,https://m.place.naver.com/restaurant/1867205146/review/visitor
45,이삭토스트 세종대점,145,3,,,,,,,,,36,4,47,,2,,,,,237,,https://m.place.naver.com/restaurant/20893928/review/visitor
46,뉴욕떡볶이,165,4,,1,,,,,,,7,,54,2,2,,,,,235,4.56,https://m.place.naver.com/restaurant/37358975/review/visitor
47,섬진강민물장어,59,,,4,,,,,3,,17,,50,,2,2,,,,137,4.37,https://m.place.naver.com/restaurant/1189624815/review/visitor
48,봉추찜닭 군자역점,8,,,,,,,,,,2,,1,,,,,,,11,4.34,https://m.place.naver.com/restaurant/11598457/review/visitor
49,60계치킨 군자점,8,,,,,,,,,,1,,1,,,1,1,,1,13,4.49,https://m.place.naver.com/restaurant/1429755390/review/visitor
50,광나루유황오리주물럭,52,,,,,,,,1,,17,,39,1,1,3,,,,114,,https://m.place.naver.com/restaurant/20931930/review/visitor
